year,title,rating,rank
2012,Men in Black 3,6.9,443
1996,Trainspotting,8.2,444
2009,Fast & Furious,6.5,445
2007,Knocked Up,7.1,446
2012,The Company You Keep,6.3,447
2005,War of the Worlds,6.5,448
2001,A Beautiful Mind,8.1,449
2004,King Arthur,6.2,450
2012,Red Dawn,5.3,451
2010,Red,7,452
1974,The Godfather: Part II,9,453
2011,Melancholia,7.1,454
2011,Transformers: Dark of the Moon,6.3,455
2011,Immortals,6,456
2007,Zodiac,7.7,457
2013,The Incredible Burt Wonderstone,5.9,458
2008,Taken,7.8,459
2013,The Book Thief,460
2013,Dallas Buyers Club,7.5,462
2013,All Is Bright,5.3,464
2012,The Master,7.1,465
2011,One Day,6.8,466
2013,Phata Poster Nikhla Hero,5.6,467
2007,Enchanted,7.2,468
1999,Star Wars: Episode I - The Phantom Menace,6.5,469
2010,Never Let Me Go,7.1,470
2000,X-Men,7.4,471
2010,Toy Story 3,8.4,472
2014,Seventh Son,473
2011,The Descendants,7.4,474
2013,The Monuments Men,475
2011,Unknown,6.8,476
2013,Out of the Furnace,477
2002,The Ring,7.1,479
2009,The Road,7.2,481
2012,Project X,6.5,482
2011,Real Steel,7,483
2013,Enemy,6.7,484
2014,The Lego Movie,485
1955,East of Eden,8,486
2003,Big Fish,8,487
2011,Just Go with It,6.3,488
2013,Yi dai zong shi,6.6,489
2011,Mission: Impossible - Ghost Protocol,7.3,490
1973,The Exorcist,8,491
2012,Brave,7.2,492
2014,Interstellar,493
2007,Hot Fuzz,7.8,494
2002,The Lord of the Rings: The Two Towers,8.7,495
2004,Shaun of the Dead,8,496
2003,Kill Bill: Vol. 1,8.1,497
1999,The Sixth Sense,8.2,498
2012,LOL,3.8,499
2001,"Monsters, Inc.",8,500
2012,The Bourne Legacy,6.7,501
2010,TRON: Legacy,6.8,502
2007,Juno,7.6,503
2013,La migliore offerta,7.7,504
2011,Fright Night,6.4,505
2010,Machete,6.7,506
2003,Lost in Translation,7.8,507
2013,August: Osage County,6.6,508
2008,The Incredible Hulk,6.9,509
2012,To the Wonder,6.1,510
1998,Mulan,7.3,511
2009,District 9,8,512
2012,The Man with the Iron Fists,5.4,513
2006,El laberinto del fauno,8.3,515
2012,Here Comes the Boom,6.4,517
2012,Taken 2,6.2,518
2012,The First Time,6.8,519
2014,Hercules: The Thracian Wars,520
2013,A Good Day to Die Hard,5.3,521
2004,Crash,7.9,522
2010,The Other Guys,6.6,523
2011,Rio,6.9,524
2008,Gran Torino,8.2,525
1978,Animal House,7.5,527
1986,Ferris Bueller's Day Off,7.8,528
2012,Parental Guidance,5.8,529
2006,The Fast and the Furious: Tokyo Drift,5.7,530
2011,Hall Pass,5.8,531
2010,Harry Potter and the Deathly Hallows: Part 1,7.6,532
2009,The Last House on the Left,6.5,533
2011,We Need to Talk About Kevin,7.5,534
2013,Saving Mr. Banks,535
2012,Ice Age: Continental Drift,6.6,536
2009,He's Just Not That Into You,6.3,537
1998,Fear and Loathing in Las Vegas,7.6,538
2011,The Hangover Part II,6.4,539
1963,The Great Escape,8.3,540
2011,Colombiana,6.2,541
2012,House at the End of the Street,5.4,542
2006,Children of Men,7.9,543
2002,My Big Fat Greek Wedding,6.5,544
1994,The Little Rascals,5.9,545
2014,22 Jump Street,546
2012,Step Up Revolution,6.2,547
2011,Tinker Tailor Soldier Spy,7.1,548
2012,The Lucky One,6.2,549
2011,The Three Musketeers,5.7,550
2010,The Last Song,5.2,551
1986,Aliens,8.5,552
2011,Source Code,7.4,553
2007,Stardust,7.7,554
2003,Dumb and Dumberer: When Harry Met Lloyd,3.3,555
2010,The Expendables,6.4,556
2011,Super 8,7.1,557
1997,Hercules,7,558
1990,Home Alone,7.3,559
2013,The Last Stand,6.4,560
2013,Her,561
2014,Fury,563
1999,The Boondock Saints,7.8,564
2009,Up,8.3,565
2008,Quantum of Solace,6.7,566
2011,We Bought a Zoo,7.1,567
2013,A Single Shot,5.9,568
2011,Killer Joe,6.7,569
2011,Sherlock Holmes: A Game of Shadows,7.4,570
2010,The Fighter,7.9,571
2014,How to Train Your Dragon 2,572
2009,Sherlock Holmes,7.5,573
2014,Sabotage,574
2012,The Possession,5.8,575
2012,Killing Them Softly,6.3,576
2011,Hugo,7.6,577
2005,Charlie and the Chocolate Factory,6.7,578
2005,The Adventures of Sharkboy and Lavagirl 3-D,3.4,579
2013,A.C.O.D.,5.7,580
2005,Serenity,7.9,581
1987,Full Metal Jacket,8.4,582
2002,Gangs of New York,7.5,583
2004,Dawn of the Dead,7.4,584
2001,A Knight's Tale,6.7,585
1979,The Warriors,7.6,586
2006,Cars,7.2,587
2007,The Bourne Ultimatum,8.1,588
2009,Up in the Air,7.5,589
2006,Pirates of the Caribbean: Dead Man's Chest,7.2,590
2012,What to Expect When You're Expecting,5.5,591
2012,American Reunion,6.7,592
2011,Contagion,6.7,593
2013,Blackfish,7.8,594
2010,Blue Valentine,7.4,595
2013,In a World...,7.3,596
1997,Con Air,6.7,597
2004,Harold & Kumar Go to White Castle,7.1,598
2000,Almost Famous,7.9,599
2012,This Means War,6.2,600
2009,A Single Man,7.5,601
2013,Vikingdom,5,602
1997,Lolita,6.7,603
2002,The Pianist,8.5,604
2013,Inside Llewyn Davis,7,605
2010,Incendies,8.1,606
2007,Pirates of the Caribbean: At World's End,7,607
1995,Toy Story,8.3,608
2013,Bounty Killer,4.8,609
1988,Who Framed Roger Rabbit,7.6,610
2010,The Book of Eli,6.8,611
2011,Our Idiot Brother,6.4,612
2012,Man on a Ledge,6.5,613
2012,Safety Not Guaranteed,7.1,614
2012,On the Road,6,615
2004,The Machinist,7.7,616
2007,Spider-Man 3,6.2,617
2004,Ocean's Twelve,6.2,618
2001,Black Hawk Down,7.7,619
2012,Resident Evil: Retribution,5.2,620
2007,P.S. I Love You,6.9,621
1975,Jaws,8.2,622
2006,Casino Royale,7.9,623
1993,The Nightmare Before Christmas,8,624
2012,Premium Rush,6.5,625
2005,The Island,6.8,626
1995,Clueless,6.6,627
2002,28 Days Later...,7.6,628
2008,Tropic Thunder,7,629
2006,Little Miss Sunshine,7.9,630
2004,The Day After Tomorrow,6.3,631
2013,Labor Day,6.8,632
2007,Atonement,7.7,633
2012,Gambit,5.6,634
2013,Peeples,4.2,635
2004,Harry Potter and the Prisoner of Azkaban,7.7,636
2008,Bolt,7,637
2004,Saw,7.6,639
2006,The Pursuit of Happyness,7.8,640
2013,The Lunchbox,7.9,641
1992,Aladdin,7.9,642
2013,Closed Circuit,5.8,643
1974,The Great Gatsby,6.2,644
2006,The Fountain,7.2,645
1996,Sleepers,7.4,646
2004,50 First Dates,6.7,647
2010,Prince of Persia: The Sands of Time,6.5,648
2012,Upside Down,6.3,649
2012,Bullet to the Head,5.7,650
1980,Star Wars: Episode V - The Empire Strikes Back,8.8,651
2005,Wedding Crashers,7,652
1988,Beetle Juice,7.4,653
