year,title,rating,rank
2007,Cassandra's Dream,6.7,3415
1998,Happiness,7.7,3417
2010,The Final,5.3,3418
1998,I Still Know What You Did Last Summer,4.3,3419
1946,Notorious,8.2,3420
2002,Enough,5.2,3421
2010,Tiny Furniture,6.2,3422
2005,The Interpreter,6.4,3423
2014,Imagine,3424
2004,Raise Your Voice,5.5,3425
2006,Find Me Guilty,6.9,3426
2000,My Dog Skip,6.8,3427
2014,Reach Me,3428
2005,Danny the Dog,7,3429
2011,Setup,4.3,3430
2005,Goal!,6.6,3431
2009,The Girlfriend Experience,5.5,3432
2009,[Rec] 2,6.5,3433
1998,Velvet Goldmine,6.7,3434
2007,Breach,7,3435
1992,Universal Soldier,5.8,3436
2005,Kicking & Screaming,5.4,3437
1998,54,5.6,3438
2004,Birth,5.9,3439
2003,The Human Stain,6.2,3440
1969,On Her Majesty's Secret Service,6.8,3441
2012,Nobody Walks,5.1,3442
1992,Twin Peaks: Fire Walk with Me,7,3444
2003,Just Married,5.2,3445
1988,Le grand bleu,7.4,3446
2000,Thirteen Days,7.2,3447
2006,LiTTLEMAN,3.8,3448
1972,Pink Flamingos,5.8,3449
2002,Swimfan,4.7,3450
1994,The Santa Clause,6.1,3451
2009,Uncertainty,5.8,3452
2011,The Woman,6,3453
2013,Standing Up,6.3,3454
1989,Majo no takkyubin,7.8,3455
2006,The Ultimate Gift,7.2,3456
2000,The Gift,6.6,3457
2013,Borgman,7.2,3458
1998,The Siege,6.2,3459
1988,Dangerous Liaisons,7.6,3460
2012,The Last Will and Testament of Rosalind Leigh,5.4,3461
2010,The Warrior's Way,6.2,3462
2012,In Their Skin,5.2,3464
1987,The Monster Squad,6.9,3465
1986,Der Name der Rose,7.7,3466
2013,Jug Face,5.3,3467
1940,The Grapes of Wrath,8.2,3468
2006,Charlotte's Web,6.4,3469
1980,Ordinary People,7.7,3470
1955,To Catch a Thief,7.5,3471
2011,"Love, Wedding, Marriage",4.7,3472
2011,Jumping the Broom,5.1,3473
2001,Kate & Leopold,6.2,3474
2008,Che: Part One,7.1,3475
1992,Under Siege,6.3,3476
2007,Scar,4,3477
1991,What About Bob?,6.8,3478
2014,Non-Stop,3479
1981,Chariots of Fire,7.2,3480
2008,The Tale of Despereaux,6.1,3481
2009,Cracks,6.5,3482
1983,Bad Boys,7,3483
1981,Endless Love,4.3,3484
2014,Voyage of Time,3485
2013,Nosotros los Nobles,7.5,3486
2004,You Got Served,3,3487
2009,Miss March,4.8,3488
2006,Amazing Grace,7.3,3489
2006,Glory Road,7,3490
1955,Lady and the Tramp,7.4,3492
2002,Halloween: Resurrection,3.9,3493
2005,Ice Princess,5.8,3494
1996,The Ghost and the Darkness,6.7,3495
2013,7500,6.4,3496
1986,Heartbreak Ridge,6.6,3497
2012,Meeting Evil,5.2,3498
2000,Shaft,5.8,3499
2011,"Big Mommas: Like Father, Like Son",3.9,3500
2012,Bloody Homecoming,4.2,3501
2014,Justice League: War,3503
2007,Cleaner,6.1,3504
2000,Shadow of the Vampire,6.8,3505
1999,Instinct,6.2,3506
2010,The Bang Bang Club,6.7,3507
1980,The Fog,6.7,3508
2005,Beauty Shop,5.2,3509
2010,Exit Through the Gift Shop,8,3510
1998,Soldier,5.7,3511
1991,Sleeping with the Enemy,5.8,3512
1992,Howards End,7.4,3513
2008,"Synecdoche, New York",7.2,3514
1987,Over the Top,5.1,3515
1993,The Pelican Brief,6.4,3516
2000,Supernova,4.5,3517
2000,Dancer in the Dark,7.8,3518
2014,True Story,3519
1969,The Wild Bunch,8.1,3520
1960,A bout de souffle,7.9,3521
2005,A Sound of Thunder,4.1,3522
2006,Undisputed II: Last Man Standing,6.8,3523
1963,The Sword in the Stone,7.1,3524
2011,Love,5.5,3525
2002,The Mothman Prophecies,6.4,3526
1997,The Postman,5.7,3527
1963,"It's a Mad, Mad, Mad, Mad World",7.4,3528
1992,Encino Man,5.3,3531
2012,Madea's Witness Protection,4.1,3532
2006,Dnevnoy dozor,6.4,3533
2002,Spirit: Stallion of the Cimarron,6.7,3534
2008,Forever Strong,6.9,3535
2006,Peaceful Warrior,7,3537
2012,Divorce Invitation,4.6,3538
2007,The Jane Austen Book Club,6.8,3539
1971,The French Connection,7.8,3540
2006,Blind Dating,6,3541
1997,Private Parts,6.6,3542
1987,Der Himmel uber Berlin,7.9,3543
2007,The Brave One,6.7,3544
1993,Gettysburg,7.5,3545
2005,Guess Who,5.7,3546
1954,20000 Leagues Under the Sea,7.1,3547
1985,Real Genius,6.8,3548
2006,Bobby,7,3549
2001,Osmosis Jones,6,3550
1933,King Kong,8,3551
1996,Courage Under Fire,6.5,3552
1996,She's the One,6,3553
2011,Snowtown,6.5,3554
2013,He's Way More Famous Than You,3.6,3555
2008,Shutter,5,3556
1999,Edtv,6,3557
1996,Emma,6.7,3558
2004,The Perfect Score,5.5,3560
1939,Mr. Smith Goes to Washington,8.3,3561
2002,Below,6.1,3562
1961,The Hustler,8.1,3563
2012,Dark Tide,4.2,3564
1986,Flight of the Navigator,6.7,3565
1999,Stir of Echoes,7,3566
1991,Backdraft,6.6,3567
1963,Bye Bye Birdie,6.4,3568
2005,Chicken Little,5.8,3569
2010,Nanny McPhee and the Big Bang,5.9,3570
1996,Thinner,5.4,3571
2009,Black Dynamite,7.2,3572
2006,Let's Go to Prison,5.8,3573
2000,Vertical Limit,5.7,3574
2008,The Burning Plain,6.7,3575
1997,Anaconda,4.4,3576
2007,Diary of the Dead,5.7,3577
2013,The Invisible Woman,7.3,3578
1997,The Borrowers,5.7,3579
2013,The Disappearance of Eleanor Rigby: Him,7.1,3581
2011,Arthur Christmas,7,3582
1976,The Bad News Bears,7.1,3583
1940,Pinocchio,7.6,3584
1979,The Black Hole,5.8,3585
1998,SLC Punk!,7.2,3586
2008,Center Stage: Turn It Up,5.7,3587
1942,Bambi,7.4,3588
2004,The Libertine,6.2,3589
1993,In the Line of Fire,7.2,3590
2001,Crazy/Beautiful,6.3,3591
2009,Luftslottet som sprangdes,7.1,3592
1961,Valley of the Dragons,5,3593
2005,Chinjeolhan geumjassi,7.6,3594
2004,Nochnoy dozor,6.4,3595
2013,Le passe,8.2,3596
2013,Effie Gray,3597
1951,The Day the Earth Stood Still,7.9,3598
1941,Dumbo,7.3,3599
1986,Three Amigos!,6.2,3600
2013,Belle,7.9,3602
2011,Restless,6.5,3603
1999,eXistenZ,6.8,3604
2004,Without a Paddle,5.7,3605
2004,Wimbledon,6.2,3606
2012,Du zhan,7,3607
2009,Polytechnique,7.1,3608
1964,Of Human Bondage,6.4,3609
1978,Days of Heaven,7.9,3610
2013,Yeh Jawaani Hai Deewani,6.4,3611
1999,Deuce Bigalow: Male Gigolo,5.6,3612
2002,Dragonfly,5.8,3613
2014,Rosewater,3614
2007,I Could Never Be Your Woman,6,3615
2003,Stuck on You,5.8,3616
2001,Manic,7.2,3617
1951,Storm Warning,7,3618
2009,City Island,7.3,3619
1995,The Prophecy,6.5,3620
2011,Wuthering Heights,6.1,3621
2012,Under the Bed,4.3,3622
1960,Plein soleil,7.7,3623
2012,Cirque du Soleil: Worlds Away,6.4,3624
1963,The Pink Panther,7.1,3625
1999,Stigmata,6,3626
1982,Night Shift,6.3,3627
2013,House of Last Things,6.2,3628
2011,You May Not Kiss the Bride,5,3629
2006,Bug,6,3630
1963,Charade,8,3631
1999,Idle Hands,5.9,3632
1992,The Lawnmower Man,5.2,3633
2014,The Human Centipede III (Final Sequence),3634
1996,Bottle Rocket,7,3635
1996,Stealing Beauty,6.4,3637
2012,Filly Brown,4.4,3638
1977,A Bridge Too Far,7.3,3639
1985,The Return of the Living Dead,7.1,3640
1960,La dolce vita,8,3641
1982,The Year of Living Dangerously,7,3642
2000,Wonder Boys,7.4,3643
1942,Roxie Hart,7,3644
2012,Transit,5.7,3645
2013,The Dirties,7.1,3646
2013,Spiders,3.5,3647
1988,Stand and Deliver,7.1,3648
1959,Rio Bravo,8,3649
1998,A Perfect Murder,6.4,3652
1999,Go,7.2,3653
2000,Big Momma's House,4.8,3654
2005,Junebug,7,3655
2000,Return to Me,6.6,3656
1982,48 Hrs.,6.9,3657
2007,The Messengers,5.2,3658
2012,Venuto al mondo,7.1,3659
1987,Prince of Darkness,6.6,3660
2009,S. Darko,3.7,3661
2002,Friday After Next,5.4,3662
2013,100 Degrees Below Zero,2.5,3663
1981,Halloween II,6.3,3664
2013,Zombie Hunter,3.3,3665
2008,The Promotion,5.7,3666
2009,Das weisse Band - Eine deutsche Kindergeschichte,7.7,3667
2011,Girl Walks Into a Bar,5.6,3668
2004,Shi mian mai fu,7.5,3669
1992,Lethal Weapon 3,6.6,3670
1999,Todo sobre mi madre,7.8,3671
1999,Mansfield Park,7,3672
2013,Dark Circles,5.1,3673
2003,Out of Time,6.4,3674
2013,Mademoiselle C,4.4,3675
2006,16 Blocks,6.6,3677
1980,Popeye,4.9,3678
2008,Chi bi,7.3,3679
2001,El espinazo del diablo,7.4,3680
2004,Win a Date with Tad Hamilton!,5.5,3681
2009,After.Life,5.9,3682
2009,My Life in Ruins,5.7,3683
2005,Assault on Precinct 13,6.2,3684
2009,The Descent: Part 2,5.7,3685
1960,Ocean's Eleven,6.5,3686
1962,The Longest Day,7.7,3687
1995,Jade,4.9,3689
2012,[REC]3 Genesis,5.1,3690
2013,Riddle,3.9,3691
2006,Stay Alive,4.7,3693
2011,A Lonely Place to Die,6.2,3694
2006,Factory Girl,6.1,3695
1984,The Bounty,6.9,3697
1999,Drive Me Crazy,5.2,3698
2009,Ondine,6.7,3700
2005,Tideland,6.4,3701
1976,All the President's Men,8,3702
1995,The Baby-Sitters Club,5.2,3703
2011,Megan Is Missing,5.3,3704
1961,Yojinbo,8.3,3705
2003,The Brown Bunny,4.8,3706
2004,In Good Company,6.5,3707
1989,The 'Burbs,6.6,3708
2012,The End of Love,5.2,3709
2003,Jeepers Creepers II,5.3,3710
1996,Executive Decision,6.3,3711
2006,School for Scoundrels,5.8,3712
2007,Butterfly on a Wheel,6.6,3713
2013,The Young and Prodigious T.S. Spivet,7.3,3714
2009,Coco avant Chanel,6.5,3716
2007,Evening,6.4,3717
2007,In the Valley of Elah,7.2,3718
2004,Head in the Clouds,6.3,3719
1996,First Kid,4.7,3721
1973,The Way We Were,6.8,3722
2009,The Damned United,7.4,3723
2009,The Disappearance of Alice Creed,6.7,3724
1953,How to Marry a Millionaire,6.8,3725
1992,The Hand That Rocks the Cradle,6.4,3726
2012,The Conspiracy,6.2,3727
2012,Earthbound,6,3728
1956,The Man in the Gray Flannel Suit,7,3729
1962,The Manchurian Candidate,8.1,3731
2005,The Proposition,7.4,3732
2006,Ne le dis a personne,7.5,3733
1925,The Big Parade,7.9,3734
2000,The Yards,6.3,3735
2011,The Moth Diaries,4.7,3736
1996,Broken Arrow,5.9,3737
1996,The First Wives Club,5.8,3739
2005,Oliver Twist,6.9,3741
2007,Waitress,7,3742
2013,Grand Piano,8.3,3743
1973,Badlands,7.9,3744
1990,Nikita,7.4,3745
1998,The Negotiator,7.2,3746
1984,2010,6.6,3747
2008,Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,2.6,3748
2012,West of Memphis,7.7,3750
1995,Get Shorty,6.8,3751
2005,Dark Water,5.5,3752
2002,Kung Pow: Enter the Fist,5.8,3753
2002,White Oleander,7,3754
1980,Fame,6.4,3755
1931,M,8.5,3756
2012,The Forger,5.2,3757
2009,The Private Lives of Pippa Lee,6.3,3758
2006,Efter brylluppet,7.7,3759
2008,Nim's Island,5.9,3760
2001,Josie and the Pussycats,5,3761
1988,The Last Temptation of Christ,7.5,3762
1983,All the Right Moves,5.7,3763
2013,Michael Kohlhaas,6.2,3764
2012,Soldiers of Fortune,4.3,3765
1994,Little Big League,5.7,3767
2006,Hatchet,5.6,3768
2002,Big Fat Liar,5.2,3770
2008,Untraceable,6.1,3771
2010,Bunraku,6,3772
2000,Amores perros,8.1,3773
1980,Dressed to Kill,7.1,3774
2011,The Caller,5.9,3775
2002,Windtalkers,5.9,3776
1991,Toy Soldiers,6.2,3777
2009,G-Force,5,3778
2005,Cache,7.2,3779
1994,When a Man Loves a Woman,6.2,3780
1966,Persona,8.1,3781
2013,Atharintiki Daaredi,7.2,3782
1932,Freaks,7.9,3783
1930,All Quiet on the Western Front,8,3784
2003,Seabiscuit,7.3,3785
2013,The Truth About Emanuel,6.9,3786
1954,Seven Brides for Seven Brothers,7.2,3787
2003,Darkness Falls,4.7,3788
2008,The Wackness,6.9,3789
2010,Mother's Day,6.1,3790
2003,Runaway Jury,7,3791
1991,Curly Sue,5.2,3792
2013,Snake and Mongoose,7.8,3793
2012,Ot vinta 3D,3.2,3795
2007,Ten Inch Hero,7.2,3796
1994,Richie Rich,4.9,3797
1994,The Jungle Book,5.8,3798
1994,Only You,6.2,3800
1998,Doctor Dolittle,5.2,3801
1991,My Own Private Idaho,7,3802
1977,The Rescuers,6.9,3803
1989,Look Who's Talking,5.7,3804
1969,The Italian Job,7.2,3806
2004,Dead Man's Shoes,7.6,3807
1987,Summer School,6.2,3808
1997,Cop Land,6.9,3809
1931,Dracula,7.6,3810
1969,True Grit,7.3,3811
2012,2 Days in New York,5.9,3812
1988,Above the Law,5.6,3814
2001,The 51st State,6.1,3815
2012,Rebelle,7,3816
2001,The Pledge,6.8,3817
2012,Chasing Ice,7.5,3818
2008,The Oxford Murders,6,3819
2009,The Messenger,7.2,3820
2010,Tropa de Elite 2 - O Inimigo Agora E Outro,8,3821
2013,No se si cortarme las venas o dejarmelas largas,7.5,3822
2011,The Tunnel,5.8,3823
1999,Life,6.3,3824
2007,The Reaping,5.5,3825
1998,Mercury Rising,5.9,3827
2009,I Hope They Serve Beer in Hell,5.1,3828
1987,Superman IV: The Quest for Peace,3.6,3829
2008,What Just Happened,5.7,3830
1991,The Commitments,7.4,3831
1985,Friday the 13th: A New Beginning,4.3,3832
2009,Planet 51,6,3833
2003,Saints and Soldiers,6.8,3834
2006,Arthur et les Minimoys,5.9,3835
2002,Life or Something Like It,5.6,3836
2009,Bakjwi,7.1,3837
1995,Johnny Mnemonic,5.3,3838
2000,Ready to Rumble,4.9,3839
2005,Miss Congeniality 2: Armed and Fabulous,4.7,3840
1995,It Takes Two,5.2,3841
1973,High Plains Drifter,7.6,3842
1958,Touch of Evil,8.2,3843
2001,Le pacte des loups,7,3844
2011,Kill the Irishman,7,3845
1985,Police Academy 2: Their First Assignment,5.3,3847
2009,Wild Target,6.7,3848
2011,In the Land of Blood and Honey,4.5,3849
1997,Snow White: A Tale of Terror,6.1,3851
1990,Young Guns II,6.1,3852
1996,The Island of Dr. Moreau,4.2,3853
1982,Fanny och Alexander,8.1,3854
1988,Oliver & Company,6.5,3855
1990,Night of the Living Dead,6.7,3858
2007,Stomp the Yard,4.7,3859
2008,Ghost Town,6.7,3860
2008,Nights in Rodanthe,5.7,3861
2006,Inland Empire,6.8,3862
1962,The Man Who Shot Liberty Valance,8.1,3863
1985,Flesh+Blood,6.6,3864
1940,Fantasia,7.8,3865
2012,I Declare War,6.1,3866
2000,Keeping the Faith,6.4,3867
1943,Shadow of a Doubt,8,3868
2003,Cradle 2 the Grave,5.6,3869
2012,Fairytale,4.2,3870
2010,Les petits mouchoirs,7,3871
2011,Winnie the Pooh,7.1,3872
2014,Maps to the Stars,3873
2008,Two Lovers,7,3874
2003,American Splendor,7.5,3875
1995,A Goofy Movie,6.6,3876
2012,The Gatekeepers,7.4,3877
2007,Feast of Love,6.5,3878
2013,The Hot Flashes,4.2,3879
2008,Killshot,6,3880
1995,French Kiss,6.3,3881
1997,Midnight in the Garden of Good and Evil,6.5,3882
1966,Blowup,7.6,3883
2013,Suddenly,3.8,3884
2012,The Queen of Versailles,7,3885
2010,The Spy Next Door,5.2,3886
1996,Escape from L.A.,5.5,3887
2012,Brake,5.9,3888
2010,Welcome to the Rileys,6.9,3889
2011,Courageous,6.4,3890
2001,O,6,3891
1993,Jason Goes to Hell: The Final Friday,4.2,3892
2009,"The Goods: Live Hard, Sell Hard",5.7,3893
2013,Behaving Badly,3894
1994,Don Juan DeMarco,6.6,3895
2009,Tanner Hall,5.5,3896
2013,Vi,5.3,3897
1992,Patriot Games,6.8,3898
2005,Beowulf & Grendel,5.8,3899
2014,Hercules: The Legend Begins,3900
1997,Bean,6,3901
1967,Guess Who's Coming to Dinner,7.7,3902
1994,Wolf,6.1,3903
1995,The American President,6.7,3904
1972,Cabaret,7.7,3905
2006,Hoot,5.3,3906
1982,The Beastmaster,5.9,3907
2006,Hollywoodland,6.5,3908
2014,The Last Witch Hunter,3909
2003,The Cooler,7,3910
1996,Last Man Standing,6.2,3911
2007,Chapter 27,5.5,3912
2001,Domestic Disturbance,5.3,3913
2006,Barnyard,5.4,3916
2008,Beverly Hills Chihuahua,3.6,3917
1957,Quatermass 2,7,3918
1999,Inspector Gadget,3.9,3919
1986,Hoosiers,7.5,3920
2014,Stretch,3921
2005,Everything Is Illuminated,7.4,3922
2008,Asterix aux jeux olympiques,4.8,3923
2010,Das letzte Schweigen,6.7,3924
1998,Six Days Seven Nights,5.6,3925
2009,Fame,4.7,3926
2007,Lions for Lambs,6.1,3927
2011,Mardi Gras: Spring Break,4.9,3928
2013,Hell & Back,3929
1966,The Sand Pebbles,7.6,3930
2008,The Edge of Love,6.1,3931
2002,Orange County,6.1,3932
2008,The Women,4.8,3933
1985,The Last Dragon,6.3,3934
1968,Oliver!,7.4,3935
1970,Catch-22,7.1,3936
1993,Grumpy Old Men,6.8,3937
2010,Jackass 3D,6.9,3938
1972,One Is a Lonely Number,6,3940
1986,The Color of Money,6.9,3944
2011,Touchback,6.1,3945
1992,El mariachi,6.9,3946
2009,The Greatest,6.5,3947
2007,The Water Horse,6.4,3949
2003,House of Sand and Fog,7.6,3950
2008,The Express,7.1,3951
2011,A Better Life,7.1,3952
2013,Feuchtgebiete,5.1,3953
2003,Camp,6.2,3954
2009,The Jerk Theory,5,3955
1967,Casino Royale,5.1,3956
2011,State of Emergency,5,3957
1993,Rising Sun,6.1,3958
2005,Stealth,4.9,3959
2003,Basic,6.3,3960
1995,Just Cause,6.2,3962
2009,Enter the Void,7.1,3963
2007,Georgia Rule,5.7,3964
2013,Go Goa Gone,6.5,3965
2008,Starship Troopers 3: Marauder,4.4,3966
1987,Innerspace,6.6,3967
2009,Stan Helsing,3.4,3968
2005,Herbie Fully Loaded,4.6,3969
2001,The Last Castle,6.7,3970
2013,On the Job,6.5,3971
1971,Play Misty for Me,7,3972
2003,The United States of Leland,7,3973
1988,Rambo III,5.4,3974
2003,View from the Top,5,3975
2014,Loomis Fargo,3976
1967,Wait Until Dark,7.8,3978
2000,Space Cowboys,6.3,3979
1977,Suspiria,7.4,3980
2005,Boogeyman,3.9,3981
2008,Swing Vote,6,3982
2013,Cottage Country,5.4,3983
1986,Psycho III,4.9,3984
2004,Christmas with the Kranks,4.9,3986
2012,Joyful Noise,5.2,3987
1993,Kalifornia,6.6,3988
2012,Maximum Conviction,4.6,3989
2012,Resolution,6,3990
2013,All Stars,3.4,3991
1993,The Remains of the Day,7.9,3993
2002,Mou gaan dou,8.1,3995
2000,Get Carter,4.8,3996
1988,Killer Klowns from Outer Space,5.8,3997
1985,Day of the Dead,7,3999
1984,Top Secret!,7,4000
2004,Alfie,6,4001
2009,The House of the Devil,6.4,4002
1973,Don't Look Now,7.4,4003
1993,Six Degrees of Separation,6.8,4004
2012,Lola Versus,5.1,4005
1989,Lock Up,6,4006
2010,High School,5.6,4007
1985,A Nightmare on Elm Street Part 2: Freddy's Revenge,5.1,4008
2014,The Nut Job,4009
2000,Ginger Snaps,6.7,4010
1985,Just One of the Guys,6.1,4011
2011,Video Girl,4.2,4012
2007,Gabriel,5.4,4013
2006,Unrest,5,4015
2005,Little Manhattan,7.5,4016
2008,Appaloosa,6.7,4017
2003,Chasing Papi,4.5,4018
1991,Rush,6.5,4019
1992,White Men Can't Jump,6.5,4020
2003,Grind,5.5,4021
1985,Girls Just Want to Have Fun,5.5,4023
2005,Feast,6.3,4024
1944,Arsenic and Old Lace,8,4025
2012,Blancanieves,7.4,4026
1977,Pete's Dragon,6.1,4027
1976,Marathon Man,7.5,4028
2010,The Trip,6.9,4029
2012,Goats,5.7,4030
1956,The Man Who Knew Too Much,7.5,4031
2004,Sky Captain and the World of Tomorrow,6.1,4032
1994,Airheads,5.8,4033
1993,A Perfect World,7.4,4034
2004,Shall We Dance,5.9,4035
1998,Ringu,7.3,4036
1976,Bugsy Malone,6.5,4037
1998,Vampires,6,4038
2010,4.3.2.1,5.7,4041
2012,Storage 24,4.3,4042
2012,Dead Mine,4.3,4043
2001,The Majestic,6.8,4045
1994,Serial Mom,6.4,4046
1999,Ghost Dog: The Way of the Samurai,7.5,4047
1986,River's Edge,6.9,4048
1984,The Adventures of Buckaroo Banzai Across the 8th Dimension,6.1,4049
1988,Friday the 13th Part VII: The New Blood,4.8,4050
2001,Ghosts of Mars,4.8,4051
1931,City Lights,8.6,4052
1986,Hannah and Her Sisters,7.9,4053
2010,Vanishing on 7th Street,4.8,4054
1997,The Saint,6,4055
2010,Snabba cash,6.5,4056
2012,Errors of the Human Body,5.1,4057
2013,The Philosophers,6.1,4058
1998,Phantoms,5.2,4059
2005,Fever Pitch,6.1,4061
2013,I'm in Love with a Church Girl,4062
2014,The Pirate Fairy,4063
2006,All the King's Men,6,4064
1998,Simon Birch,6.7,4065
1991,Naked Lunch,6.9,4066
2000,Before Night Falls,7.1,4067
2010,The Perfect Host,6.6,4068
1988,I'm Gonna Git You Sucka,6.2,4069
2012,The Samaritan,5.5,4070
1996,Jingle All the Way,5.1,4071
2013,Crazy Kind of Love,4.6,4072
1998,Deep Rising,5.8,4073
2005,The Weather Man,6.6,4074
1995,La cite des enfants perdus,7.6,4075
2006,Facing the Giants,6.2,4077
2000,The Skulls,5.3,4078
2012,Asterix et Obelix: Au service de Sa Majeste,5.2,4079
2010,Lottery Ticket,4.3,4080
1997,An American Werewolf in Paris,4.9,4081
1955,The Night of the Hunter,8.1,4082
1994,In the Mouth of Madness,7,4083
2011,Wrong Turn 4: Bloody Beginnings,4.3,4084
2002,Dirty Pretty Things,7.4,4085
2006,Huo Yuan Jia,7.6,4086
2013,Jimmy P.,6.3,4087
1968,Where Eagles Dare,7.6,4088
1999,Superstar,4.6,4089
2008,Cadillac Records,6.7,4090
2014,Jane Got a Gun,4091
1995,First Knight,5.7,4092
1984,"Paris, Texas",8,4093
2012,Come Out and Play,4.7,4094
1986,The Money Pit,6,4095
2007,A Mighty Heart,6.6,4096
1985,European Vacation,5.9,4097
2004,Anacondas: The Hunt for the Blood Orchid,4.3,4098
2010,The Shrine,5.4,4100
2013,In Fear,5,4101
2013,20 Feet from Stardom,7.3,4102
1990,Air America,5.5,4104
2004,Garfield,4.8,4105
1991,Bill & Ted's Bogus Journey,6,4106
2004,The Alamo,5.8,4107
2011,A Few Best Men,5.7,4108
2012,Citadel,5.3,4109
2002,High Crimes,6.2,4110
2011,Starbuck,7.2,4111
2012,A.C.A.B.: All Cops Are Bastards,6.5,4113
2013,Gimme Shelter,6.18,4114
2009,Mother and Child,7.1,4116
2014,They Came Together,4117
2010,Yip Man chinchyun,7,4118
2010,Secretariat,7,4119
2012,El Gringo,5.1,4120
1995,Rob Roy,6.8,4121
2008,Bottle Shock,6.7,4122
1985,Lifeforce,5.9,4123
2012,Jack and Diane,4.2,4124
1987,Withnail & I,7.6,4125
1993,Coneheads,5.1,4126
2013,The Rover,4127
2006,Unknown,6.4,4128
2013,The Good Road,5,4129
1996,Homeward Bound II: Lost in San Francisco,5.5,4130
2006,Pulse,4.5,4131
2005,The World's Fastest Indian,7.8,4132
1981,The Cannonball Run,5.9,4133
1996,Shine,7.6,4134
2008,The Lucky Ones,6.9,4135
2000,Shanghai Noon,6.5,4136
2009,Get Low,7,4137
1981,Scanners,6.7,4138
2005,Tom yum goong,6.9,4139
1992,3 Ninjas,4.7,4140
1986,An American Tail,6.8,4141
2009,Astro Boy,6.2,4142
1986,Cobra,5.2,4143
1994,Camp Nowhere,5.4,4145
2007,The Last Mimzy,6.2,4146
2007,La misma luna,7.2,4147
1996,Pusher,7.3,4148
1987,Overboard,6.4,4149
2007,Reservation Road,6.7,4150
1996,Harriet the Spy,5.7,4151
2014,The Voices,4152
1985,Runaway Train,7.2,4153
2008,Deadgirl,5.7,4154
2006,The Wind That Shakes the Barley,7.4,4156
1972,The Last House on the Left,5.9,4157
1970,Five Easy Pieces,7.4,4158
1991,Harley Davidson and the Marlboro Man,5.6,4159
2009,Frequently Asked Questions About Time Travel,7,4160
2013,Metegol,7.7,4162
2006,A Guide to Recognizing Your Saints,6.9,4164
1957,Smultronstallet,8.3,4165
2006,Black Sheep,5.8,4166
2010,The Presence,4.4,4167
2013,The Last Keepers,4.5,4168
2005,An Unfinished Life,6.9,4169
2008,Miss Pettigrew Lives for a Day,6.9,4170
2002,Dog Soldiers,6.7,4171
1982,The King of Comedy,7.6,4172
2007,Boy A,7.6,4173
1996,One Fine Day,6.3,4174
1948,The Treasure of the Sierra Madre,8.4,4175
1996,Bulletproof,5.6,4177
2013,Therese,7.8,4178
1975,Mandingo,5.8,4179
2006,Gedo senki,6.4,4180
1991,New Jack City,6.3,4181
2007,The Nines,6.4,4182
2008,JCVD,7.1,4183
2010,Cyrus,6.3,4184
2014,See No Evil 2,4185
2008,Chaos Theory,6.7,4186
2007,Cougar Club,4,4187
2010,Just Wright,5.3,4188
2008,Meet Dave,4.8,4189
2006,My Super Ex-Girlfriend,5.1,4190
1997,Spice World,3,4191
1967,In the Heat of the Night,8,4192
2014,Frank,4193
1985,Re-Animator,7.2,4194
1970,Patton,8,4195
2004,Flight of the Phoenix,6,4196
2013,The Short Game,8.7,4197
1998,Belly,5,4198
2014,Camp X-Ray,4199
1993,The Good Son,6.1,4200
1989,Going Overboard,1.8,4201
1996,The Phantom,4.8,4202
2011,Faces in the Crowd,5.5,4203
1984,Body Double,6.6,4204
2012,See Girl Run,4.6,4205
1978,Invasion of the Body Snatchers,7.3,4206
2011,Honey 2,4.7,4207
2014,"Tomorrow, When the War Began 2",4209
2013,The Demented,3.9,4211
2011,Diary of a Wimpy Kid: Rodrick Rules,6.3,4212
2003,Duplex,5.7,4213
1987,Flowers in the Attic,5.1,4214
1987,Police Academy 4: Citizens on Patrol,4.3,4215
2013,The Door,4.9,4216
1995,Halloween: The Curse of Michael Myers,4.6,4217
2010,L'arnacoeur,6.7,4219
2008,Kit Kittredge: An American Girl,6.5,4220
2013,Penthouse North,5,4222
1988,Johnny Be Good,4.1,4223
2014,Welcome to Me,4224
2014,Live by Night,4225
2003,Party Monster,5.9,4226
2012,The Giant Mechanical Man,6.4,4227
1979,Meatballs,5.9,4228
2009,The Black Waters of Echo's Pond,4.2,4229
2003,Anything Else,6.3,4230
1998,Strike!,6.3,4231
2012,Les saveurs du Palais,6,4233
2000,Maelstrom,7.1,4234
2006,The Pleasure of Your Company,5.6,4235
1979,Quadrophenia,7.1,4236
1990,Henry & June,6.2,4237
2011,Higher Ground,6.1,4238
1993,The Program,6.1,4239
1997,Volcano,5.3,4240
1957,Witness for the Prosecution,8.4,4241
2002,May,6.6,4242
2003,Radio,6.7,4243
2002,The Four Feathers,6.3,4244
2006,The Wild,5.3,4246
2008,Meet the Browns,3.5,4247
2003,The In-Laws,5.6,4248
2008,Four Christmases,5.5,4249
2012,Un plan parfait,6.1,4250
2009,Leaves of Grass,6.4,4251
2001,The Animal,4.6,4252
2011,Vampire,5.6,4253
2011,Xin shao lin si,6.7,4254
1998,Quest for Camelot,5.6,4255
2011,Recoil,4.9,4256
1978,The Wiz,4.7,4257
1975,Rollerball,6.5,4258
1987,3 Men and a Baby,5.7,4259
2006,The Grudge 2,4.7,4260
1946,The Big Sleep,8.1,4261
